Frequency (Hz),Period (uSecs),Max Duty Cycle (Percent),Max Pulse Width (uSecs),PWM Divider,PWM Range
"1,574",635.31,100.00%,635.31,38,321
"1,575",634.79,100.00%,634.79,44,277
"1,576",634.38,100.00%,634.38,12,1015
"1,577",633.96,100.00%,633.96,34,358
"1,578",633.33,100.00%,633.33,38,320
"1,579",632.92,100.00%,632.92,49,248
"1,580",632.81,100.00%,632.81,15,810
"1,581",632.5,100.00%,632.5,33,368
"1,582",631.88,100.00%,631.88,36,337
"1,583",631.35,100.00%,631.35,38,319
"1,584",631.25,100.00%,631.25,40,303
"1,585",630.78,100.00%,630.78,33,367
"1,586",630.42,100.00%,630.42,34,356
"1,587",630,100.00%,630,36,336
"1,588",629.38,100.00%,629.38,38,318
"1,589",629.06,100.00%,629.06,33,366
"1,590",628.65,100.00%,628.65,34,355
"1,591",628.23,100.00%,628.23,37,326
"1,592",628.13,100.00%,628.13,12,1005
"1,593",627.4,100.00%,627.4,38,317
"1,594",627.34,100.00%,627.34,33,365
"1,595",626.88,100.00%,626.88,12,1003
"1,596",626.25,100.00%,626.25,36,334
"1,597",625.99,100.00%,625.99,119,101
"1,598",625.63,100.00%,625.63,33,364
"1,599",625.1,100.00%,625.1,34,353
"1,600",625,100.00%,625,12,1000
"1,601",624.38,100.00%,624.38,36,333
"1,602",623.91,100.00%,623.91,33,363
"1,603",623.59,100.00%,623.59,39,307
"1,604",623.33,100.00%,623.33,34,352
"1,605",622.92,100.00%,622.92,40,299
"1,606",622.5,100.00%,622.5,36,332
"1,607",622.24,100.00%,622.24,13,919
"1,608",621.56,100.00%,621.56,34,351
"1,609",621.46,100.00%,621.46,38,314
"1,610",620.83,100.00%,620.83,40,298
"1,611",620.47,100.00%,620.47,33,361
"1,612",620,100.00%,620,48,248
"1,613",619.79,100.00%,619.79,34,350
"1,614",619.48,100.00%,619.48,38,313
"1,615",619.06,100.00%,619.06,42,283
"1,616",618.75,100.00%,618.75,33,360
"1,617",618.13,100.00%,618.13,43,276
"1,618",618.02,100.00%,618.02,34,349
"1,619",617.5,100.00%,617.5,38,312
"1,620",617.03,100.00%,617.03,33,359
"1,621",616.88,100.00%,616.88,36,329
"1,622",616.25,100.00%,616.25,34,348
"1,623",615.89,100.00%,615.89,43,275
"1,624",615.52,100.00%,615.52,38,311
"1,625",615.36,100.00%,615.36,17,695
"1,626",615,100.00%,615,12,984
"1,627",614.48,100.00%,614.48,34,347
"1,628",614.17,100.00%,614.17,44,268
"1,629",613.59,100.00%,613.59,33,357
"1,630",613.13,100.00%,613.13,36,327
"1,631",612.81,100.00%,612.81,37,318
"1,632",612.71,100.00%,612.71,34,346
"1,633",612.08,100.00%,612.08,52,226
"1,634",611.88,100.00%,611.88,33,356
"1,635",611.25,100.00%,611.25,36,326
"1,636",610.94,100.00%,610.94,34,345
"1,637",610.68,100.00%,610.68,35,335
"1,638",610.16,100.00%,610.16,33,355
"1,639",610,100.00%,610,48,244
"1,640",609.58,100.00%,609.58,38,308
"1,641",609.17,100.00%,609.17,34,344
"1,642",608.85,100.00%,608.85,35,334
"1,643",608.59,100.00%,608.59,15,779
"1,644",608.13,100.00%,608.13,42,278
"1,645",607.6,100.00%,607.6,38,307
"1,646",607.5,100.00%,607.5,12,972
"1,647",607.03,100.00%,607.03,35,333
"1,648",606.72,100.00%,606.72,33,353
"1,649",606.25,100.00%,606.25,40,291
"1,650",605.94,100.00%,605.94,42,277
"1,651",605.63,100.00%,605.63,34,342
"1,652",605,100.00%,605,33,352
"1,653",604.69,100.00%,604.69,43,270
"1,654",604.32,100.00%,604.32,41,283
"1,655",604.17,100.00%,604.17,40,290
"1,656",603.85,100.00%,603.85,34,341
"1,657",603.28,100.00%,603.28,33,351
"1,658",603.13,100.00%,603.13,12,965
"1,659",602.45,100.00%,602.45,43,269
"1,660",602.08,100.00%,602.08,34,340
"1,661",601.88,100.00%,601.88,36,321
"1,662",601.56,100.00%,601.56,33,350
"1,663",601.25,100.00%,601.25,37,312
"1,664",600.83,100.00%,600.83,56,206
"1,665",600.57,100.00%,600.57,13,887
"1,666",600,100.00%,600,36,320
"1,667",599.84,100.00%,599.84,33,349
"1,668",599.32,100.00%,599.32,37,311
"1,669",598.96,100.00%,598.96,46,250
"1,670",598.75,100.00%,598.75,12,958
"1,671",598.13,100.00%,598.13,33,348
"1,672",597.92,100.00%,597.92,35,328
"1,673",597.4,100.00%,597.4,37,310
"1,674",597.19,100.00%,597.19,39,294
"1,675",596.77,100.00%,596.77,34,337
"1,676",596.41,100.00%,596.41,33,347
"1,677",596.09,100.00%,596.09,35,327
"1,678",595.73,100.00%,595.73,38,301
"1,679",595.47,100.00%,595.47,37,309
"1,680",595,100.00%,595,34,336
"1,681",594.69,100.00%,594.69,33,346
"1,682",594.27,100.00%,594.27,35,326
"1,683",594.17,100.00%,594.17,16,713
"1,684",593.75,100.00%,593.75,12,950
"1,685",593.23,100.00%,593.23,34,335
"1,686",592.97,100.00%,592.97,33,345
"1,687",592.45,100.00%,592.45,35,325
"1,688",592.4,100.00%,592.4,47,242
"1,689",591.77,100.00%,591.77,38,299
"1,690",591.46,100.00%,591.46,34,334
"1,691",591.25,100.00%,591.25,33,344
"1,692",590.73,100.00%,590.73,53,214
"1,693",590.63,100.00%,590.63,35,324
"1,694",590,100.00%,590,48,236
"1,695",589.69,100.00%,589.69,34,333
"1,696",589.53,100.00%,589.53,33,343
"1,697",589.06,100.00%,589.06,39,290
"1,698",588.8,100.00%,588.8,35,323
"1,699",588.44,100.00%,588.44,42,269
"1,700",587.92,100.00%,587.92,34,332
"1,701",587.81,100.00%,587.81,33,342
"1,702",587.5,100.00%,587.5,12,940
"1,703",586.98,100.00%,586.98,35,322
"1,704",586.77,100.00%,586.77,43,262
"1,705",586.25,100.00%,586.25,42,268
"1,706",586.09,100.00%,586.09,33,341
"1,707",585.52,100.00%,585.52,73,154
"1,708",585.16,100.00%,585.16,35,321
"1,709",585,100.00%,585,36,312
"1,710",584.79,100.00%,584.79,14,802
"1,711",584.38,100.00%,584.38,33,340
"1,712",583.91,100.00%,583.91,37,303
"1,713",583.75,100.00%,583.75,12,934
"1,714",583.33,100.00%,583.33,35,320
"1,715",582.97,100.00%,582.97,39,287
"1,716",582.66,100.00%,582.66,33,339
"1,717",582.29,100.00%,582.29,43,260
"1,718",581.98,100.00%,581.98,37,302
"1,719",581.51,100.00%,581.51,35,319
"1,720",581.25,100.00%,581.25,36,310
"1,721",580.94,100.00%,580.94,33,338
"1,722",580.63,100.00%,580.63,12,929
"1,723",580.36,100.00%,580.36,11,1013
"1,724",579.9,100.00%,579.9,38,293
"1,725",579.69,100.00%,579.69,35,318
"1,726",579.22,100.00%,579.22,33,337
"1,727",578.91,100.00%,578.91,39,285
"1,728",578.7,100.00%,578.7,41,271
"1,729",578.13,100.00%,578.13,37,300
"1,730",577.86,100.00%,577.86,35,317
"1,731",577.5,100.00%,577.5,33,336
"1,732",577.34,100.00%,577.34,15,739
"1,733",576.88,100.00%,576.88,39,284
"1,734",576.56,100.00%,576.56,41,270
"1,735",576.35,100.00%,576.35,11,1006
"1,736",575.78,100.00%,575.78,33,335
"1,737",575.52,100.00%,575.52,34,325
"1,738",575.31,100.00%,575.31,42,263
"1,739",575,100.00%,575,12,920
"1,740",574.43,100.00%,574.43,41,269
"1,741",574.06,100.00%,574.06,33,334
"1,742",573.75,100.00%,573.75,34,324
"1,743",573.49,100.00%,573.49,77,143
"1,744",573.13,100.00%,573.13,42,262
"1,745",572.81,100.00%,572.81,39,282
"1,746",572.6,100.00%,572.6,46,239
"1,747",572.34,100.00%,572.34,33,333
"1,748",571.98,100.00%,571.98,34,323
"1,749",571.67,100.00%,571.67,49,224
"1,750",571.41,100.00%,571.41,53,207
"1,751",570.78,100.00%,570.78,39,281
"1,752",570.63,100.00%,570.63,11,996
"1,753",570.21,100.00%,570.21,34,322
"1,754",570,100.00%,570,36,304
"1,755",569.53,100.00%,569.53,45,243
"1,756",569.43,100.00%,569.43,377,29
"1,757",568.91,100.00%,568.91,33,331
"1,758",568.75,100.00%,568.75,12,910
"1,759",568.44,100.00%,568.44,34,321
"1,760",568.13,100.00%,568.13,12,909
"1,761",567.81,100.00%,567.81,46,237
"1,762",567.5,100.00%,567.5,12,908
"1,763",567.19,100.00%,567.19,33,330
"1,764",566.67,100.00%,566.67,34,320
"1,765",566.56,100.00%,566.56,37,294
"1,766",566.25,100.00%,566.25,36,302
"1,767",565.89,100.00%,565.89,41,265
"1,768",565.47,100.00%,565.47,33,329
"1,769",565.1,100.00%,565.1,35,310
"1,770",564.9,100.00%,564.9,11,986
"1,771",564.38,100.00%,564.38,36,301
"1,772",564.32,100.00%,564.32,11,985
"1,773",563.75,100.00%,563.75,33,328
"1,774",563.65,100.00%,563.65,14,773
"1,775",563.13,100.00%,563.13,34,318
"1,776",563.02,100.00%,563.02,46,235
"1,777",562.5,100.00%,562.5,36,300
"1,778",562.19,100.00%,562.19,42,257
"1,779",562.03,100.00%,562.03,33,327
"1,780",561.72,100.00%,561.72,15,719
"1,781",561.35,100.00%,561.35,34,317
"1,782",561.09,100.00%,561.09,81,133
"1,783",560.63,100.00%,560.63,36,299
"1,784",560.31,100.00%,560.31,33,326
"1,785",560.1,100.00%,560.1,38,283
"1,786",559.64,100.00%,559.64,35,307
"1,787",559.58,100.00%,559.58,34,316
"1,788",559.17,100.00%,559.17,44,244
"1,789",558.75,100.00%,558.75,36,298
"1,790",558.59,100.00%,558.59,33,325
"1,791",558.13,100.00%,558.13,38,282
"1,792",558.02,100.00%,558.02,11,974
"1,793",557.66,100.00%,557.66,43,249
"1,794",557.34,100.00%,557.34,41,261
"1,795",556.88,100.00%,556.88,33,324
"1,796",556.56,100.00%,556.56,39,274
"1,797",556.25,100.00%,556.25,40,267
"1,798",556.04,100.00%,556.04,34,314
"1,799",555.63,100.00%,555.63,42,254
"1,800",555.47,100.00%,555.47,15,711
"1,801",555.16,100.00%,555.16,33,323
"1,802",554.9,100.00%,554.9,14,761
"1,803",554.58,100.00%,554.58,11,968
"1,804",554.27,100.00%,554.27,34,313
"1,805",553.8,100.00%,553.8,49,217
"1,806",553.44,100.00%,553.44,33,322
"1,807",553.13,100.00%,553.13,36,295
"1,808",553.07,100.00%,553.07,37,287
"1,809",552.5,100.00%,552.5,34,312
"1,810",552.34,100.00%,552.34,35,303
"1,811",552.08,100.00%,552.08,40,265
"1,812",551.72,100.00%,551.72,33,321
"1,813",551.56,100.00%,551.56,15,706
"1,814",551.25,100.00%,551.25,36,294
"1,815",550.73,100.00%,550.73,34,311
"1,816",550.52,100.00%,550.52,35,302
"1,817",550.21,100.00%,550.21,38,278
"1,818",550,100.00%,550,33,320
"1,819",549.48,100.00%,549.48,50,211
"1,820",549.43,100.00%,549.43,11,959
"1,821",548.96,100.00%,548.96,34,310
"1,822",548.7,100.00%,548.7,35,301
"1,823",548.28,100.00%,548.28,33,319
"1,824",548.23,100.00%,548.23,38,277
"1,825",547.92,100.00%,547.92,40,263
"1,826",547.5,100.00%,547.5,36,292
"1,827",547.19,100.00%,547.19,34,309
"1,828",546.88,100.00%,546.88,35,300
"1,829",546.56,100.00%,546.56,33,318
"1,830",546.25,100.00%,546.25,38,276
"1,831",546.09,100.00%,546.09,45,233
"1,832",545.63,100.00%,545.63,36,291
"1,833",545.42,100.00%,545.42,34,308
"1,834",545.05,100.00%,545.05,35,299
"1,835",544.84,100.00%,544.84,11,951
"1,836",544.38,100.00%,544.38,39,268
"1,837",544.27,100.00%,544.27,11,950
"1,838",543.85,100.00%,543.85,46,227
"1,839",543.65,100.00%,543.65,34,307
"1,840",543.23,100.00%,543.23,35,298
"1,841",543.13,100.00%,543.13,11,948
"1,842",542.81,100.00%,542.81,54,193
"1,843",542.55,100.00%,542.55,11,947
"1,844",542.29,100.00%,542.29,38,274
"1,845",541.98,100.00%,541.98,11,946
"1,846",541.67,100.00%,541.67,13,800
"1,847",541.41,100.00%,541.41,11,945
"1,848",540.83,100.00%,540.83,44,236
"1,849",540.57,100.00%,540.57,107,97
"1,850",540.31,100.00%,540.31,38,273
"1,851",540.1,100.00%,540.1,34,305
"1,852",539.69,100.00%,539.69,33,314
"1,853",539.58,100.00%,539.58,35,296
"1,854",539.22,100.00%,539.22,51,203
"1,855",539.06,100.00%,539.06,45,230
"1,856",538.54,100.00%,538.54,44,235
"1,857",538.33,100.00%,538.33,34,304
"1,858",537.97,100.00%,537.97,33,313
"1,859",537.76,100.00%,537.76,35,295
"1,860",537.5,100.00%,537.5,40,258
"1,861",537.19,100.00%,537.19,54,191
"1,862",537.03,100.00%,537.03,491,21
"1,863",536.56,100.00%,536.56,34,303
"1,864",536.25,100.00%,536.25,33,312
"1,865",535.94,100.00%,535.94,35,294
"1,866",535.73,100.00%,535.73,37,278
"1,867",535.42,100.00%,535.42,40,257
"1,868",535.26,100.00%,535.26,43,239
"1,869",535,100.00%,535,12,856
"1,870",534.53,100.00%,534.53,33,311
"1,871",534.38,100.00%,534.38,36,285
"1,872",534.11,100.00%,534.11,35,293
"1,873",533.8,100.00%,533.8,37,277
"1,874",533.39,100.00%,533.39,49,209
"1,875",533.33,100.00%,533.33,10,1024
"1,876",532.81,100.00%,532.81,33,310
"1,877",532.5,100.00%,532.5,36,284
"1,878",532.29,100.00%,532.29,35,292
"1,879",532.19,100.00%,532.19,39,262
"1,880",531.88,100.00%,531.88,37,276
"1,881",531.56,100.00%,531.56,42,243
"1,882",531.25,100.00%,531.25,10,1020
"1,883",530.83,100.00%,530.83,49,208
"1,884",530.63,100.00%,530.63,36,283
"1,885",530.47,100.00%,530.47,15,679
"1,886",530.21,100.00%,530.21,10,1018
"1,887",529.69,100.00%,529.69,45,226
"1,888",529.48,100.00%,529.48,34,299
"1,889",529.38,100.00%,529.38,33,308
"1,890",529.06,100.00%,529.06,3386,3
"1,891",528.65,100.00%,528.65,35,290
"1,892",528.44,100.00%,528.44,38,267
"1,893",528.02,100.00%,528.02,37,274
"1,894",527.71,100.00%,527.71,34,298
"1,895",527.66,100.00%,527.66,33,307
"1,896",527.19,100.00%,527.19,42,241
"1,897",526.88,100.00%,526.88,36,281
"1,898",526.82,100.00%,526.82,35,289
"1,899",526.56,100.00%,526.56,10,1011
"1,900",526.09,100.00%,526.09,37,273
"1,901",525.94,100.00%,525.94,33,306
"1,902",525.73,100.00%,525.73,49,206
"1,903",525.31,100.00%,525.31,41,246
"1,904",525,100.00%,525,35,288
"1,905",524.79,100.00%,524.79,44,229
"1,906",524.48,100.00%,524.48,38,265
"1,907",524.22,100.00%,524.22,33,305
"1,908",524.06,100.00%,524.06,39,258
"1,909",523.8,100.00%,523.8,113,89
"1,910",523.44,100.00%,523.44,50,201
"1,911",523.18,100.00%,523.18,35,287
"1,912",522.92,100.00%,522.92,40,251
"1,913",522.5,100.00%,522.5,33,304
"1,914",522.4,100.00%,522.4,34,295
"1,915",522.03,100.00%,522.03,39,257
"1,916",521.82,100.00%,521.82,43,233
"1,917",521.41,100.00%,521.41,47,213
"1,918",521.35,100.00%,521.35,35,286
"1,919",521.04,100.00%,521.04,41,244
"1,920",520.83,100.00%,520.83,10,1000
"1,921",520.31,100.00%,520.31,37,270
"1,922",520.21,100.00%,520.21,44,227
"1,923",520,100.00%,520,39,256
"1,924",519.53,100.00%,519.53,35,285
"1,925",519.38,100.00%,519.38,36,277
"1,926",519.06,100.00%,519.06,33,302
"1,927",518.85,100.00%,518.85,34,293
"1,928",518.54,100.00%,518.54,38,262
"1,929",518.39,100.00%,518.39,37,269
"1,930",517.97,100.00%,517.97,39,255
"1,931",517.71,100.00%,517.71,35,284
"1,932",517.34,100.00%,517.34,33,301
"1,933",517.08,100.00%,517.08,34,292
"1,934",516.93,100.00%,516.93,397,25
"1,935",516.56,100.00%,516.56,38,261
"1,936",516.46,100.00%,516.46,37,268
"1,937",516.25,100.00%,516.25,42,236
"1,938",515.89,100.00%,515.89,35,283
"1,939",515.63,100.00%,515.63,33,300
"1,940",515.31,100.00%,515.31,34,291
"1,941",515.1,100.00%,515.1,43,230
"1,942",514.69,100.00%,514.69,54,183
"1,943",514.53,100.00%,514.53,37,267
"1,944",514.38,100.00%,514.38,12,823
"1,945",514.06,100.00%,514.06,10,987
"1,946",513.75,100.00%,513.75,36,274
"1,947",513.54,100.00%,513.54,34,290
"1,948",513.33,100.00%,513.33,44,224
"1,949",513.02,100.00%,513.02,10,985
"1,950",512.6,100.00%,512.6,37,266
"1,951",512.5,100.00%,512.5,40,246
"1,952",512.19,100.00%,512.19,33,298
"1,953",511.77,100.00%,511.77,34,289
"1,954",511.61,100.00%,511.61,47,209
"1,955",511.46,100.00%,511.46,10,982
"1,956",511.04,100.00%,511.04,44,223
"1,957",510.94,100.00%,510.94,45,218
"1,958",510.47,100.00%,510.47,33,297
"1,959",510.42,100.00%,510.42,35,280
"1,960",510,100.00%,510,34,288
"1,961",509.9,100.00%,509.9,10,979
"1,962",509.64,100.00%,509.64,19,515
"1,963",509.38,100.00%,509.38,10,978
"1,964",509.06,100.00%,509.06,54,181
"1,965",508.85,100.00%,508.85,10,977
"1,966",508.59,100.00%,508.59,35,279
"1,967",508.23,100.00%,508.23,34,287
"1,968",508.13,100.00%,508.13,12,813
"1,969",507.81,100.00%,507.81,39,250
"1,970",507.6,100.00%,507.6,11,886
"1,971",507.34,100.00%,507.34,51,191
"1,972",507.03,100.00%,507.03,33,295
"1,973",506.77,100.00%,506.77,35,278
"1,974",506.46,100.00%,506.46,34,286
"1,975",506.25,100.00%,506.25,10,972
"1,976",506.04,100.00%,506.04,347,28
"1,977",505.78,100.00%,505.78,39,249
"1,978",505.31,100.00%,505.31,33,294
"1,979",505.21,100.00%,505.21,50,194
"1,980",504.95,100.00%,504.95,35,277
"1,981",504.69,100.00%,504.69,34,285
"1,982",504.38,100.00%,504.38,36,269
"1,983",504.17,100.00%,504.17,40,242
"1,984",503.96,100.00%,503.96,41,236
"1,985",503.59,100.00%,503.59,33,293
"1,986",503.44,100.00%,503.44,54,179
"1,987",503.13,100.00%,503.13,35,276
"1,988",502.92,100.00%,502.92,34,284
"1,989",502.71,100.00%,502.71,38,254
"1,990",502.5,100.00%,502.5,36,268
"1,991",502.08,100.00%,502.08,40,241
"1,992",501.88,100.00%,501.88,33,292
"1,993",501.72,100.00%,501.72,39,247
"1,994",501.3,100.00%,501.3,35,275
"1,995",501.15,100.00%,501.15,34,283
"1,996",500.94,100.00%,500.94,14,687
"1,997",500.63,100.00%,500.63,36,267
"1,998",500.26,100.00%,500.26,85,113
"1,999",500.16,100.00%,500.16,33,291
"2,000",500,100.00%,500,10,960
"2,001",499.69,100.00%,499.69,39,246
"2,002",499.38,100.00%,499.38,34,282
"2,003",499.11,100.00%,499.11,37,259
"2,004",498.96,100.00%,498.96,10,958
"2,005",498.75,100.00%,498.75,36,266
"2,006",498.44,100.00%,498.44,33,290
"2,007",498.07,100.00%,498.07,73,131
"2,008",497.92,100.00%,497.92,40,239
"2,009",497.6,100.00%,497.6,34,281
"2,010",497.29,100.00%,497.29,44,217
"2,011",497.19,100.00%,497.19,37,258
"2,012",496.88,100.00%,496.88,36,265
"2,013",496.72,100.00%,496.72,33,289
"2,014",496.41,100.00%,496.41,353,27
"2,015",496.09,100.00%,496.09,75,127
"2,016",495.83,100.00%,495.83,34,280
"2,017",495.63,100.00%,495.63,39,244
"2,018",495.42,100.00%,495.42,41,232
"2,019",495.26,100.00%,495.26,37,257
"2,020",495,100.00%,495,11,864
"2,021",494.79,100.00%,494.79,10,950
"2,022",494.38,100.00%,494.38,42,226
"2,023",494.11,100.00%,494.11,53,179
"2,024",494.06,100.00%,494.06,34,279
"2,025",493.59,100.00%,493.59,39,243
"2,026",493.54,100.00%,493.54,46,206
"2,027",493.28,100.00%,493.28,33,287
"2,028",492.92,100.00%,492.92,52,182
"2,029",492.81,100.00%,492.81,38,249
"2,030",492.5,100.00%,492.5,48,197
"2,031",492.29,100.00%,492.29,34,278
"2,032",492.03,100.00%,492.03,47,201
"2,033",491.67,100.00%,491.67,40,236
"2,034",491.56,100.00%,491.56,11,858
"2,035",491.25,100.00%,491.25,36,262
"2,036",491.15,100.00%,491.15,10,943
"2,037",490.83,100.00%,490.83,38,248
"2,038",490.63,100.00%,490.63,10,942
"2,039",490.42,100.00%,490.42,11,856
"2,040",490,100.00%,490,42,224
"2,041",489.84,100.00%,489.84,33,285
"2,042",489.48,100.00%,489.48,37,254
"2,043",489.38,100.00%,489.38,36,261
"2,044",489.01,100.00%,489.01,41,229
"2,045",488.85,100.00%,488.85,38,247
"2,046",488.75,100.00%,488.75,34,276
"2,047",488.49,100.00%,488.49,83,113
"2,048",488.13,100.00%,488.13,33,284
"2,049",487.81,100.00%,487.81,42,223
"2,050",487.6,100.00%,487.6,302,31
"2,051",487.5,100.00%,487.5,36,260
"2,052",487.14,100.00%,487.14,47,199
"2,053",486.98,100.00%,486.98,34,275
"2,054",486.82,100.00%,486.82,13,719
"2,055",486.41,100.00%,486.41,33,283
"2,056",486.35,100.00%,486.35,46,203
"2,057",485.99,100.00%,485.99,43,217
"2,058",485.83,100.00%,485.83,44,212
"2,059",485.63,100.00%,485.63,12,777
"2,060",485.21,100.00%,485.21,34,274
"2,061",485.16,100.00%,485.16,45,207
"2,062",484.9,100.00%,484.9,10,931
"2,063",484.69,100.00%,484.69,33,282
"2,064",484.38,100.00%,484.38,50,186
"2,065",484.11,100.00%,484.11,55,169
"2,066",483.96,100.00%,483.96,46,202
"2,067",483.75,100.00%,483.75,36,258
"2,068",483.44,100.00%,483.44,34,273
"2,069",483.28,100.00%,483.28,3093,3
"2,070",482.97,100.00%,482.97,33,281
"2,071",482.81,100.00%,482.81,10,927
"2,072",482.6,100.00%,482.6,41,226
"2,073",482.24,100.00%,482.24,47,197
"2,074",482.08,100.00%,482.08,52,178
"2,075",481.88,100.00%,481.88,36,257
"2,076",481.67,100.00%,481.67,16,578
"2,077",481.25,100.00%,481.25,33,280
"2,078",481.15,100.00%,481.15,31,298
"2,079",480.94,100.00%,480.94,38,243
"2,080",480.73,100.00%,480.73,130,71
"2,081",480.52,100.00%,480.52,14,659
"2,082",480.21,100.00%,480.21,10,922
"2,083",479.9,100.00%,479.9,34,271
"2,084",479.84,100.00%,479.84,37,249
"2,085",479.53,100.00%,479.53,33,279
"2,086",479.38,100.00%,479.38,39,236
"2,087",479.06,100.00%,479.06,9,1022
"2,088",478.8,100.00%,478.8,317,29
"2,089",478.7,100.00%,478.7,707,13
"2,090",478.33,100.00%,478.33,41,224
"2,091",478.13,100.00%,478.13,34,270
"2,092",477.81,100.00%,477.81,33,278
"2,093",477.6,100.00%,477.6,35,262
"2,094",477.34,100.00%,477.34,39,235
"2,095",477.24,100.00%,477.24,49,187
"2,096",477.08,100.00%,477.08,10,916
"2,097",476.67,100.00%,476.67,44,208
"2,098",476.56,100.00%,476.56,10,915
"2,099",476.35,100.00%,476.35,34,269
"2,100",476.09,100.00%,476.09,33,277
"2,101",475.78,100.00%,475.78,35,261
"2,102",475.52,100.00%,475.52,55,166
"2,103",475.31,100.00%,475.31,39,234
"2,104",475.26,100.00%,475.26,73,125
"2,105",475,100.00%,475,38,240
"2,106",474.69,100.00%,474.69,42,217
"2,107",474.58,100.00%,474.58,34,268
"2,108",474.38,100.00%,474.38,33,276
"2,109",473.96,100.00%,473.96,35,260
"2,110",473.91,100.00%,473.91,9,1011
"2,111",473.7,100.00%,473.7,85,107
"2,112",473.28,100.00%,473.28,39,233
"2,113",473.23,100.00%,473.23,11,826
"2,114",473.02,100.00%,473.02,38,239
"2,115",472.66,100.00%,472.66,33,275
"2,116",472.5,100.00%,472.5,36,252
"2,117",472.19,100.00%,472.19,1511,6
"2,118",472.14,100.00%,472.14,35,259
"2,119",471.88,100.00%,471.88,10,906
"2,120",471.56,100.00%,471.56,503,18
"2,121",471.35,100.00%,471.35,50,181
"2,122",471.04,100.00%,471.04,34,266
"2,123",470.94,100.00%,470.94,33,274
"2,124",470.63,100.00%,470.63,36,251
"2,125",470.57,100.00%,470.57,13,695
"2,126",470.31,100.00%,470.31,35,258
"2,127",470,100.00%,470,47,192
"2,128",469.79,100.00%,469.79,41,220
"2,129",469.69,100.00%,469.69,9,1002
"2,130",469.27,100.00%,469.27,34,265
"2,131",469.22,100.00%,469.22,33,273
"2,132",468.91,100.00%,468.91,3001,3
"2,133",468.75,100.00%,468.75,36,250
"2,134",468.49,100.00%,468.49,35,257
"2,135",468.28,100.00%,468.28,37,243
"2,136",468.13,100.00%,468.13,42,214
"2,137",467.81,100.00%,467.81,499,18
"2,138",467.66,100.00%,467.66,41,219
"2,139",467.5,100.00%,467.5,33,272
"2,140",467.08,100.00%,467.08,38,236
"2,141",466.88,100.00%,466.88,36,249
"2,142",466.67,100.00%,466.67,35,256
"2,143",466.51,100.00%,466.51,53,169
"2,144",466.35,100.00%,466.35,37,242
"2,145",466.15,100.00%,466.15,10,895
"2,146",465.78,100.00%,465.78,33,271
"2,147",465.73,100.00%,465.73,34,263
"2,148",465.52,100.00%,465.52,41,218
"2,149",465.16,100.00%,465.16,39,229
"2,150",465,100.00%,465,36,248
"2,151",464.84,100.00%,464.84,35,255
"2,152",464.58,100.00%,464.58,40,223
"2,153",464.43,100.00%,464.43,37,241
"2,154",464.06,100.00%,464.06,33,270
"2,155",463.96,100.00%,463.96,17,524
"2,156",463.75,100.00%,463.75,42,212
"2,157",463.59,100.00%,463.59,43,207
"2,158",463.39,100.00%,463.39,41,217
"2,159",463.13,100.00%,463.13,9,988
"2,160",462.92,100.00%,462.92,11,808
"2,161",462.66,100.00%,462.66,47,189
"2,162",462.5,100.00%,462.5,10,888
"2,163",462.19,100.00%,462.19,34,261
"2,164",461.93,100.00%,461.93,49,181
"2,165",461.72,100.00%,461.72,45,197
"2,166",461.56,100.00%,461.56,42,211
"2,167",461.46,100.00%,461.46,10,886
"2,168",461.2,100.00%,461.2,35,253
"2,169",460.94,100.00%,460.94,50,177
"2,170",460.63,100.00%,460.63,33,268
"2,171",460.42,100.00%,460.42,34,260
"2,172",460.21,100.00%,460.21,47,188
"2,173",460,100.00%,460,46,192
"2,174",459.84,100.00%,459.84,81,109
"2,175",459.74,100.00%,459.74,13,679
"2,176",459.38,100.00%,459.38,35,252
"2,177",459.17,100.00%,459.17,38,232
"2,178",459.06,100.00%,459.06,39,226
"2,179",458.91,100.00%,458.91,33,267
"2,180",458.65,100.00%,458.65,14,629
"2,181",458.33,100.00%,458.33,40,220
"2,182",458.23,100.00%,458.23,53,166
"2,183",457.92,100.00%,457.92,56,157
"2,184",457.81,100.00%,457.81,10,879
"2,185",457.55,100.00%,457.55,35,251
"2,186",457.29,100.00%,457.29,439,20
"2,187",457.19,100.00%,457.19,11,798
"2,188",457.03,100.00%,457.03,9,975
"2,189",456.72,100.00%,456.72,37,237
"2,190",456.46,100.00%,456.46,313,28
"2,191",456.25,100.00%,456.25,40,219
"2,192",456.04,100.00%,456.04,44,199
"2,193",455.99,100.00%,455.99,85,103
"2,194",455.73,100.00%,455.73,35,250
"2,195",455.47,100.00%,455.47,11,795
"2,196",455.21,100.00%,455.21,38,230
"2,197",455.1,100.00%,455.1,34,257
"2,198",454.79,100.00%,454.79,37,236
"2,199",454.64,100.00%,454.64,43,203
"2,200",454.43,100.00%,454.43,349,25
"2,201",454.17,100.00%,454.17,40,218
"2,202",454.01,100.00%,454.01,379,23
"2,203",453.75,100.00%,453.75,33,264
"2,204",453.65,100.00%,453.65,10,871
"2,205",453.33,100.00%,453.33,34,256
"2,206",453.23,100.00%,453.23,38,229
"2,207",452.97,100.00%,452.97,13,669
"2,208",452.86,100.00%,452.86,37,235
"2,209",452.5,100.00%,452.5,48,181
"2,210",452.4,100.00%,452.4,43,202
